house_id,area_type,availability,location,size,society,total_sqft,bath,balcony,price
house_9442,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2.0,1.0,32.54
house_2578,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,,1340,2.0,2.0,61.0
house_8279,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,NDpalSe,1512,3.0,,80.0
house_1584,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1512,3.0,2.0,75.77
house_4516,Plot  Area,Ready To Move,RMV 2nd Stage,3 Bedroom,,4470,3.0,,700.0
house_10904,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Baentgi,1518,3.0,3.0,80.0
house_9670,Super built-up  Area,Ready To Move,Kengeri,2 BHK,Sravema,1200,2.0,3.0,42.0
house_3418,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,1270,4.0,1.0,128.0
house_373,Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,275.0
house_2536,Plot  Area,Ready To Move,Hoodi,5 Bedroom,,2400,5.0,2.0,160.0
house_8032,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,,958,2.0,1.0,33.53
house_1999,Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1699,3.0,3.0,97.0
house_4800,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1200,2.0,2.0,46.0
house_10625,Plot  Area,Ready To Move,Vivek Nagar,2 Bedroom,,1600,2.0,1.0,160.0
house_7922,Built-up  Area,Ready To Move,Koramangala,2 BHK,KHage G,1370,2.0,2.0,125.0
house_6576,Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1030,2.0,1.0,49.35
house_11624,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,996,2.0,2.0,36.5
house_5062,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1804,3.0,1.0,115.0
house_10542,Built-up  Area,Ready To Move,Annasandrapalya,4 Bedroom,,3500,4.0,0.0,150.0
house_7266,Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,Almid P,1293,2.0,2.0,75.0
house_6557,Super built-up  Area,18-Mar,Bellandur,3 BHK,,2000,3.0,2.0,85.0
house_12209,Plot  Area,Ready To Move,4th Block Jayanagar,7 Bedroom,,2240,4.0,1.0,700.0
house_12577,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,TCncyn ,1089,2.0,1.0,40.0
house_5121,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1318,3.0,1.0,54.0
house_11832,Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,34.0
house_6888,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1305,2.0,1.0,78.0
house_1484,Carpet  Area,18-Mar,Hebbal,2 BHK,Arcia S,547.34 - 827.31,2.0,0.0,42.72
house_6962,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,51.48
house_12883,Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,,1245,2.0,1.0,125.0
house_5911,Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650,3.0,1.0,84.0
house_9974,Plot  Area,Ready To Move,Sector 1 HSR Layout,3 Bedroom,,2400,6.0,2.0,775.0
house_10757,Super built-up  Area,18-May,Chikkalasandra,3 BHK,,1355,3.0,2.0,54.2
house_9656,Super built-up  Area,18-Oct,Ramagondanahalli,3 BHK,DNeremo,1910,3.0,2.0,150.0
house_6673,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Paentta,1200,2.0,2.0,50.0
